ID,DEPARTAMENTO,CABECERA,PROVINCIA,385
351,"LEANDRONALEM","VEDIA","BUENOSAIRES",1840
352,"TUPUNGATO","TUPUNGATO","MENDOZA",3587
353,"TUNUYAN","TUNUYAN","MENDOZA",6348
354,"LUJANDECUYO","LUJANDECUYO","MENDOZA",4071
355,"FUTALEUFU","ESQUEL","CHUBUT",202
356,"RIOCHICO","GOBERNADORGREGORES","SANTACRUZ",4426
357,"LAGOARGENTINO","CALAFATE","SANTACRUZ",53
358,"SANJAVIER","SANJAVIER","MISIONES",37
359,"CONCEPCION","CONCEPCIONDELASIERRA","MISIONES",504
360,"GUARANI","ELSOBERBIO","MISIONES",1335
361,"GENERALARENALES","GENERALARENALES","BUENOSAIRES",55
362,"25DEMAYO","ALBAPOSSE","MISIONES",593
363,"OBERA","OBERA","MISIONES",185
364,"GENERALMANUELBELGRANO","BERNARDODEIRIGOYEN","MISIONES",289
365,"SANIGNACIO","SANIGNACIO","MISIONES",102
366,"PIRANE","PIRANE","FORMOSA",204
367,"PATINO","COMANDANTEFONTANA","FORMOSA",42
368,"BERMEJO","LAGUNAYEMA","FORMOSA",580
369,"BERMEJO","LALEONESA","CHACO",950
370,"LIBERTADORGENERALSANMARTIN","GENERALJOSESANMARTIN","CHACO",1406
371,"GENERALGUEMES","JUANJOSECASTELLI","CHACO",40
372,"PILAGAS","ELESPINILLO","FORMOSA",89
373,"VALCHETA","VALCHETA","RIONEGRO",2990
374,"SANANTONIO","SANANTONIOOESTE","RIONEGRO",46
375,"LAISHI","SANFRANCISCODELAISHI","FORMOSA",150
376,"9DEJULIO","SIERRACOLORADA","RIONEGRO",21
377,"NORQUINCO","NORQUINCO","RIONEGRO",1461
378,"25DEMAYO","MAQUINCHAO","RIONEGRO",11288
379,"BIEDMA","PUERTOMADRYN","CHUBUT",134
380,"TELSEN","TELSEN","CHUBUT",14
381,"GASTRE","GASTRE","CHUBUT",139
382,"ELCUY","ELCUY","RIONEGRO",777
383,"PILCANIYEU","PILCANIYEU","RIONEGRO",2484
384,"CALAMUCHITA","SANAGUSTIN","CORDOBA",371
385,"ADOLFOALSINA","CARHUE","BUENOSAIRES",689
386,"RIVADAVIA","AMERICA","BUENOSAIRES",327
387,"PELLEGRINI","PELLEGRINI","BUENOSAIRES",465
388,"PUAN","PUAN","BUENOSAIRES",511
389,"VILLARINO","MEDANOS","BUENOSAIRES",4038
390,"MARACO","GENERALPICO","LAPAMPA",461
391,"QUEMUQUEMU","QUEMUQUEMU","LAPAMPA",552
392,"CATRILO","CATRILO","LAPAMPA",166
393,"CALEUCALEU","LAADELA","LAPAMPA",514
394,"GUATRACHE","GUATRACHE","LAPAMPA",299
395,"HUCAL","BERNASCONI","LAPAMPA",1598
396,"PATAGONES","CARMENDEPATAGONES","BUENOSAIRES",566
397,"CHAPALEUFU","INTENDENTEALVEAR","LAPAMPA",806
398,"IGUAZU","PUERTOESPERANZA","MISIONES",3967
399,"IRIONDO","CAYADADEGOMEZ","SANTAFE",2057
400,"SANJUSTO","SANJUSTO","SANTAFE",7713
401,"LASCOLONIAS","ESPERANZA","SANTAFE",195
402,"SARMIENTO","VILLAMEDIAAGUA","SANJUAN",9717
403,"LASHERAS","LASHERAS","MENDOZA",899
404,"LAVALLE","VILLATULUMAYA","MENDOZA",582
405,"MALARGUE","MALARGUE","MENDOZA",4874
406,"SANJERONIMO","CORONDA","SANTAFE",13555
407,"GENERALLOPEZ","MELINCUE","SANTAFE",109510
408,"ROSARIO","ROSARIO","SANTAFE",13299
409,"SANLORENZO","CORONDA","SANTAFE",888
410,"PICHIMAHUIDA","RIOCOLORADO","RIONEGRO",5455
411,"ADOLFOALSINA","VIEDMA","RIONEGRO",10619
412,"USHUAIA","USHUAIA","TIERRADELFUEGO",446
413,"RIOSENGUER","ALTORIOSENGUER","CHUBUT",17014
414,"BARILOCHE","SANCARLOSDEBARILOCHE","RIONEGRO",765
415,"GARAY","HELVENCIA","SANTAFE",574
416,"SANJAVIER","SANJAVIER","SANTAFE",1435
417,"VERA","VERA","SANTAFE",13153
418,"CASTELLANOS","RAFAELA","SANTAFE",2518
419,"BELGRANO","LASROSAS","SANTAFE",6539
